nume_actiune,timestamp
READ_ALL_CLIENTS,2025-05-19 22:35:01
READ_ALL_CLIENTS,2025-05-19 22:35:01
READ_ALL_COMENZI,2025-05-19 22:35:01
READ_ALL_COMENZI,2025-05-19 22:35:01
READ_ALL_PRODUSE,2025-05-19 22:35:01
READ_ALL_PRODUSE,2025-05-19 22:35:01
READ_ALL_FACTURI,2025-05-19 22:35:01
READ_ALL_COMENZI,2025-05-19 22:35:01
READ_ALL_PRODUSE,2025-05-19 22:35:01
READ_ALL_PRODUSE,2025-05-19 22:35:01
READ_ALL_CLIENTS,2025-05-19 22:35:31
READ_ALL_COMENZI,2025-05-19 22:35:31
READ_ALL_CLIENTS,2025-05-19 22:35:32
CREATE_PRODUS,2025-05-19 22:35:32
CREATE_PRODUS,2025-05-19 22:35:32
CREATE_PRODUS,2025-05-19 22:35:32
READ_ALL_CLIENTS,2025-05-19 22:35:32
READ_ALL_COMENZI,2025-05-19 22:35:32
READ_ALL_CLIENTS,2025-05-19 22:35:32
READ_ALL_COMENZI,2025-05-19 22:35:32
READ_ALL_COMENZI,2025-05-19 22:35:32
READ_ALL_CLIENTS,2025-05-19 22:35:32
READ_ALL_CLIENTS,2025-05-19 22:35:32
READ_ALL_COMENZI,2025-05-19 22:35:32
READ_ALL_COMENZI,2025-05-19 22:35:32
READ_ALL_PRODUSE,2025-05-19 22:35:32
READ_ALL_PRODUSE,2025-05-19 22:35:32
READ_ALL_FACTURI,2025-05-19 22:35:32
READ_ALL_COMENZI,2025-05-19 22:35:32
READ_ALL_PRODUSE,2025-05-19 22:35:32
READ_ALL_PRODUSE,2025-05-19 22:35:32
READ_ALL_CLIENTS,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_CLIENTS,2025-05-19 22:35:39
CREATE_PRODUS,2025-05-19 22:35:39
CREATE_PRODUS,2025-05-19 22:35:39
CREATE_PRODUS,2025-05-19 22:35:39
READ_ALL_CLIENTS,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_CLIENTS,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_CLIENTS,2025-05-19 22:35:39
READ_ALL_CLIENTS,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_PRODUSE,2025-05-19 22:35:39
READ_ALL_PRODUSE,2025-05-19 22:35:39
READ_ALL_FACTURI,2025-05-19 22:35:39
READ_ALL_COMENZI,2025-05-19 22:35:39
READ_ALL_PRODUSE,2025-05-19 22:35:39
READ_ALL_PRODUSE,2025-05-19 22:35:39
READ_ALL_CLIENTS,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_CLIENTS,2025-05-19 22:35:54
CREATE_PRODUS,2025-05-19 22:35:54
CREATE_PRODUS,2025-05-19 22:35:54
CREATE_PRODUS,2025-05-19 22:35:54
READ_ALL_CLIENTS,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_CLIENTS,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_CLIENTS,2025-05-19 22:35:54
READ_ALL_CLIENTS,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_PRODUSE,2025-05-19 22:35:54
READ_ALL_PRODUSE,2025-05-19 22:35:54
READ_ALL_FACTURI,2025-05-19 22:35:54
READ_ALL_COMENZI,2025-05-19 22:35:54
READ_ALL_PRODUSE,2025-05-19 22:35:54
READ_ALL_PRODUSE,2025-05-19 22:35:54
READ_ALL_CLIENTS,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
READ_ALL_CLIENTS,2025-05-19 22:36:05
CREATE_PRODUS,2025-05-19 22:36:05
CREATE_PRODUS,2025-05-19 22:36:05
CREATE_PRODUS,2025-05-19 22:36:05
READ_ALL_CLIENTS,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
